50,57,-56
50,59,-55
50,61,-55
50,63,-55
50,65,-53
52,45,-53
52,47,-53
52,49,-53
52,51,-53
52,53,-52
52,55,-52
52,57,-52
52,59,-52
52,61,-52
52,63,-52
52,65,-52
54,45,-53
54,47,-52
54,49,-53
54,51,-53
54,53,-53
54,55,-53
54,57,-53
54,59,-53
54,61,-55
54,63,-55
54,65,-55
56,45,-53
56,47,-53
56,49,-51
56,51,-51
56,53,-51
56,55,-52
56,57,-52
56,59,-51
56,61,-51
56,63,-52
56,65,-52
58,45,-52
58,47,-52
58,49,-52
58,51,-50
58,53,-50
58,55,-50
58,57,-50
58,59,-50
58,61,-50
58,63,-50
58,65,-50
60,45,-50
60,47,-48
60,49,-48
60,51,-48
60,53,-48
60,55,-48
60,57,-51
60,59,-51
60,61,-45
60,63,-45
60,65,-45
0,25,-37
0,30,-38
0,35,-38
0,40,-38
0,45,-38
0,50,-37
0,55,-37
0,60,-37
0,65,-37
0,70,-37
0,75,-37
10,25,-35
10,30,-35
10,35,-35
10,40,-36
10,45,-36
10,50,-36
10,55,-36
10,60,-36
10,65,-36
10,70,-36
10,75,-38
20,25,-40
20,30,-40
20,35,-38
20,40,-38
20,45,-38
20,50,-38
20,55,-38
20,60,-38
20,65,-38
20,70,-40
20,75,-40
30,25,-40
30,30,-40
30,35,-43
30,40,-45
30,45,-49
30,50,-49
30,55,-47
30,60,-44
30,65,-45
30,70,-46
30,75,-46
40,25,-49
40,30,-50
40,35,-50
40,40,-51
40,45,-51
40,50,-51
40,55,-53
40,60,-53
40,65,-54
40,70,-54
40,75,-57
50,25,-61
50,30,-61
50,35,-57
50,40,-55
50,45,-55
50,50,-57
50,55,-57
50,60,-57
50,65,-62
50,70,-61
50,75,-58
60,25,-53
60,30,-54
60,35,-55
60,40,-55
60,45,-58
60,50,-57
60,55,-59
60,60,-59
60,65,-59
60,70,-61
60,75,-59
70,25,-59
70,30,-49
70,35,-49
70,40,-52
70,45,-53
70,50,-53
70,55,-52
70,60,-52
70,65,-52
70,70,-54
70,75,-53
80,25,-47
80,30,-46
80,35,-47
80,40,-47
80,45,-47
80,50,-48
80,55,-49
80,60,-49
80,65,-52
80,70,-52
80,75,-54
90,25,-52
90,30,-51
90,35,-51
90,40,-51
90,45,-51
90,50,-53
90,55,-54
90,60,-49
90,65,-49
90,70,-47
90,75,-47
100,25,-49
100,30,-49
100,35,-50
100,40,-50
100,45,-50
100,50,-52
100,55,-52
100,60,-52
100,65,-52
100,70,-50
100,75,-50
110,25,-53
110,30,-51
110,35,-51
110,40,-51
110,45,-50
110,50,-51
110,55,-51
110,60,-51
110,65,-51
110,70,-51
110,75,-52
120,25,-53
120,30,-53
120,35,-53
120,40,-59
120,45,-59
120,50,-59
120,55,-56
120,60,-57
120,65,-56
120,70,-56
120,75,-56
130,25,-51
130,30,-50
130,35,-51
130,40,-51
130,45,-50
130,50,-50
130,55,-50
130,60,-51
130,65,-51
130,70,-51
130,75,-52
140,25,-57
140,30,-57
140,35,-54
140,40,-55
140,45,-53
140,50,-53
140,55,-53
140,60,-53
140,65,-53
140,70,-54
140,75,-54
150,25,-55
150,30,-44
150,35,-40
150,40,-40
150,45,-40
150,50,-40
150,55,-40
150,60,-40
150,65,-40
150,70,-40
150,75,-40
160,25,-39
160,30,-37
160,35,-37
160,40,-36
160,45,-36
160,50,-36
160,55,-36
160,60,-36
160,65,-36
160,70,-36
160,75,-38
170,25,-37
170,30,-37
170,35,-36
170,40,-36
170,45,-35
170,50,-35
170,55,-35
170,60,-35
170,65,-35
170,70,-36
170,75,-37
180,25,-43
180,30,-43
180,35,-40
180,40,-40
180,45,-39
180,50,-39
180,55,-39
180,60,-40
180,65,-40
180,70,-41
180,75,-41
0,25,-37
0,25,-37
0,25,-37
0,25,-37
0,25,-37
0,25,-37
0,27,-37
0,29,-37
0,31,-36
0,33,-36
0,35,-36
2,25,-36
2,25,-36
2,25,-36
2,25,-36
2,25,-37
2,25,-37
2,27,-36
2,29,-36
2,31,-36
2,33,-36
2,35,-36
4,25,-36
4,25,-36
4,25,-37
4,25,-36
4,25,-36
4,25,-36
4,27,-36
4,29,-37
4,31,-37
4,33,-35
4,35,-35
6,25,-35
6,25,-35
6,25,-36
6,25,-36
6,25,-37
6,25,-37
6,27,-36
6,29,-36
6,31,-36
6,33,-36
6,35,-35
8,25,-35
8,25,-35
8,25,-35
8,25,-37
8,25,-38
8,25,-37
8,27,-37
8,29,-36
8,31,-35
8,33,-35
8,35,-35
10,25,-35
10,25,-36
10,25,-36
10,25,-36
10,25,-36
10,25,-36
10,27,-36
10,29,-36
10,31,-36
10,33,-36
10,35,-36
12,25,-36
12,25,-36
12,25,-37
12,25,-37
12,25,-37
12,25,-37
